id,department,question,expected_behavior,expected_answer,model_answer,retrieved_document,retrieved_section,correct,retrieval_accuracy,answer_relevance,groundedness,faithfulness,out_of_scope_detection,multi_hop_success,latency_ms,confidence,all_sources,notes
Q011,HR,Can you help me with can i carry unused vacation days into the next year?,IN_SCOPE,"Employees may carry over up to five unused days, and those carried-over days must be used by 31 March or they lapse unless local law requires otherwise.","Up to 5 days, and they must be used by 31 March or they lapse — unless your Regional Addendum grants more (5.2).",NEXUS_HR_POLICY_MANUAL.md,18. Frequently Asked Questions (FAQ),correct,1.0,0.6619312189277904,0.8,0.6619312189277904,0.0,0.0,1821,0.285,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.3197}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.3 Related provisions"", ""relevance_score"": 0.2692}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.2653}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""8.1 Working on a public holiday"", ""relevance_score"": 0.2337}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""8.3 Floating / flexible holidays"", ""relevance_score"": 0.1993}]",
Q012,HR,What should I do if can i carry unused vacation days into the next year?,IN_SCOPE,"Employees may carry over up to five unused days, and those carried-over days must be used by 31 March or they lapse unless local law requires otherwise.","Up to 5 days, and they must be used by 31 March or they lapse — unless your Regional Addendum grants more (5.2).",NEXUS_HR_POLICY_MANUAL.md,18. Frequently Asked Questions (FAQ),correct,1.0,0.6619312189277904,0.8,0.6619312189277904,0.0,0.0,1933,0.244,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.2742}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""8.1 Working on a public holiday"", ""relevance_score"": 0.2316}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.3 Related provisions"", ""relevance_score"": 0.2276}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.2058}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""8.3 Floating / flexible holidays"", ""relevance_score"": 0.1771}]",
Q013,HR,What should I do before I take extended leave if I am the DRI for an active project?,IN_SCOPE,"Before extended leave, you should confirm a DRI handoff so no work item is left without an owner.",DRI handoff,NEXUS_HR_POLICY_MANUAL.md,18. Frequently Asked Questions (FAQ),correct,1.0,0.6003749843283069,0.8,0.6003749843283069,0.0,0.0,1232,0.3,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.3632}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.3 Requesting leave"", ""relevance_score"": 0.298}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""14.3 Time, flexibility & work setup"", ""relevance_score"": 0.2378}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.1978}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.1799}]",
Q014,HR,Can you help me with what should i do before i take extended leave if i am the dri for an active project?,IN_SCOPE,"Before extended leave, you should confirm a DRI handoff so no work item is left without an owner.",I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,18. Frequently Asked Questions (FAQ),correct,1.0,0.2429790114731346,0.8,0.2429790114731346,0.0,0.0,1256,0.339,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.3945}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.3 Requesting leave"", ""relevance_score"": 0.3452}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""14.3 Time, flexibility & work setup"", ""relevance_score"": 0.2787}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.2386}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.225}]",
Q015,HR,What should I do if what should i do before i take extended leave if i am the dri for an active project?,IN_SCOPE,"Before extended leave, you should confirm a DRI handoff so no work item is left without an owner.",I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,18. Frequently Asked Questions (FAQ),correct,1.0,0.2429790114731346,0.8,0.2429790114731346,0.0,0.0,1355,0.279,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.3362}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.3 Requesting leave"", ""relevance_score"": 0.2777}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""14.3 Time, flexibility & work setup"", ""relevance_score"": 0.2217}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.1968}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.1694}]",
Q016,HR,Will my part-time schedule reduce my leave entitlement?,IN_SCOPE,Part-time employees receive pro-rated leave based on their contracted hours.,Yes.,NEXUS_HR_POLICY_MANUAL.md,"14.3 Time, flexibility & work setup",incorrect,1.0,0.037409675043369714,0.8,0.037409675043369714,0.0,0.0,831,0.27,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""14.3 Time, flexibility & work setup"", ""relevance_score"": 0.3438}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.2352}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.2306}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.2 Continuity and return"", ""relevance_score"": 0.2076}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""4.4 Rest, breaks, and disconnection"", ""relevance_score"": 0.2049}]",
Q017,HR,Can you help me with will my part-time schedule reduce my leave entitlement?,IN_SCOPE,Part-time employees receive pro-rated leave based on their contracted hours.,I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,"14.3 Time, flexibility & work setup",correct,1.0,0.28565758929726814,0.8,0.28565758929726814,0.0,0.0,1201,0.32,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""14.3 Time, flexibility & work setup"", ""relevance_score"": 0.3925}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.3109}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.2571}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""4.4 Rest, breaks, and disconnection"", ""relevance_score"": 0.2311}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.2161}]",
Q018,HR,What should I do if will my part-time schedule reduce my leave entitlement?,IN_SCOPE,Part-time employees receive pro-rated leave based on their contracted hours.,I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,"14.3 Time, flexibility & work setup",correct,1.0,0.28565758929726814,0.8,0.28565758929726814,0.0,0.0,1176,0.26,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""14.3 Time, flexibility & work setup"", ""relevance_score"": 0.3234}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.2341}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.2213}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""4.4 Rest, breaks, and disconnection"", ""relevance_score"": 0.2032}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.1583}]",
Q019,HR,What is the company baseline for primary caregivers taking parental leave?,IN_SCOPE,The company baseline for a primary caregiver is 16 weeks of fully paid leave.,16 weeks** fully paid,NEXUS_HR_POLICY_MANUAL.md,7.1 Company baseline,correct,1.0,0.5150941307115834,0.8,0.5150941307115834,0.0,0.0,1002,0.534,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.1 Company baseline"", ""relevance_score"": 0.6637}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.4 Related leave types"", ""relevance_score"": 0.5092}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.4283}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.2 Continuity and return"", ""relevance_score"": 0.3653}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.3 Related provisions"", ""relevance_score"": 0.2685}]",
Q020,HR,Can you help me with what is the company baseline for primary caregivers taking parental leave?,IN_SCOPE,The company baseline for a primary caregiver is 16 weeks of fully paid leave.,16 weeks** fully paid,NEXUS_HR_POLICY_MANUAL.md,7.1 Company baseline,correct,1.0,0.5150941307115834,0.8,0.5150941307115834,0.0,0.0,996,0.553,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.1 Company baseline"", ""relevance_score"": 0.6805}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.4 Related leave types"", ""relevance_score"": 0.52}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.4596}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.2 Continuity and return"", ""relevance_score"": 0.3625}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""14.3 Time, flexibility & work setup"", ""relevance_score"": 0.2807}]",
Q021,HR,What should I do if what is the company baseline for primary caregivers taking parental leave?,IN_SCOPE,The company baseline for a primary caregiver is 16 weeks of fully paid leave.,I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,7.1 Company baseline,correct,1.0,0.24186431265821115,0.8,0.24186431265821115,0.0,0.0,1151,0.499,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.1 Company baseline"", ""relevance_score"": 0.5954}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.4606}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.4 Related leave types"", ""relevance_score"": 0.4412}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.2 Continuity and return"", ""relevance_score"": 0.2977}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.3 Related provisions"", ""relevance_score"": 0.1915}]",
Q022,HR,How are promotions evaluated at Nexus?,IN_SCOPE,Promotions are based on sustained impact at the target level rather than tenure alone.,Promotions recognize sustained performance at the **next** level — not merely tenure or strong performance at the current level.,NEXUS_HR_POLICY_MANUAL.md,10. Promotions,correct,1.0,0.825129140949217,0.8,0.825129140949217,0.0,0.0,1489,0.443,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""10. Promotions"", ""relevance_score"": 0.5174}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.4326}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.378}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""9. Performance Reviews"", ""relevance_score"": 0.3411}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""10.3 Cadence"", ""relevance_score"": 0.2968}]",
Q023,HR,Can you help me with how are promotions evaluated at nexus?,IN_SCOPE,Promotions are based on sustained impact at the target level rather than tenure alone.,Promotions recognize sustained performance at the **next** level — not merely tenure or strong performance at the current level.,NEXUS_HR_POLICY_MANUAL.md,10. Promotions,correct,1.0,0.825129140949217,0.8,0.825129140949217,0.0,0.0,1587,0.436,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""10. Promotions"", ""relevance_score"": 0.5133}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.4251}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.3704}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""9. Performance Reviews"", ""relevance_score"": 0.3546}, {""source"": ""General_Company_Policies.md"", ""department"": ""finance"", ""section"": ""Confidential, financial, HR, or legal matters must **never** be discussed in open NexusConnect channels; use private channels or NexusMail with appropriate distribution restrictions per **Security Policy** data classification rules."", ""relevance_score"": 0.3015}]",
Q024,HR,What should I do if how are promotions evaluated at nexus?,IN_SCOPE,Promotions are based on sustained impact at the target level rather than tenure alone.,I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,10. Promotions,correct,1.0,0.21197909358905095,0.8,0.21197909358905095,0.0,0.0,1162,0.368,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""10. Promotions"", ""relevance_score"": 0.4557}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.3487}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""9. Performance Reviews"", ""relevance_score"": 0.3003}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.2986}, {""source"": ""General_Company_Policies.md"", ""department"": ""finance"", ""section"": ""Confidential, financial, HR, or legal matters must **never** be discussed in open NexusConnect channels; use private channels or NexusMail with appropriate distribution restrictions per **Security Policy** data classification rules."", ""relevance_score"": 0.293}]",
